game_id,date,player,rank,substitute_player,winner,score,color,num_of_cities,num_of_settlement,num_of_roads,num_of_dev_cards,buy_dev_card_first,builds_city_first,builds_settlement_first,num_of_harbor,which_resources_first,cashier,time_in_min,is_extension,start_time,longest_road,largest_army,first_brick_harbor,first_ore_harbor,first_grain_harbor,first_wool_harbor,first_lumber_harbor,first_3to1_harbor,num_of_brick_harbor,num_of_grain_harbor,num_of_3to1_harbor,num_of_lumber_harbor,num_of_ore_harbor,num_of_wool_harbor,initial_dices,dessert_placement
16.0,2022-03-26,E,5.0,,A,5.0,Brown,1.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,"['Brick', 'Wool', 'Grain']",0.0,70.0,1.0,02:00:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
16.0,2022-03-26,M,3.0,,A,7.0,Orange,1.0,3.0,7.0,0.0,0.0,0.0,1.0,1.0,"['Wool', 'Wool', 'Brick']",0.0,70.0,1.0,02:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
16.0,2022-03-26,Cc,4.0,,A,6.0,Red,2.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,"['Grain', 'Grain', 'Wool']",0.0,70.0,1.0,02:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
17.0,2022-03-26,B,1.0,,E,4.0,Blue,0.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,"['Wool', 'Lumber']",0.0,85.0,1.0,19:20:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
17.0,2022-03-26,A,2.0,,E,7.0,White,1.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,"['Lumber', 'Ore', 'Grain']",0.0,85.0,1.0,19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
17.0,2022-03-26,M,3.0,,E,6.0,Orange,3.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,"['Lumber', 'Grain', 'Wool']",0.0,85.0,1.0,19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
17.0,2022-03-26,Cc,4.0,,E,7.0,Brown,3.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,"['Ore', 'Brick', 'Grain']",1.0,85.0,1.0,19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,
17.0,2022-03-26,E,5.0,,E,10.0,Green,3.0,2.0,8.0,4.0,1.0,0.0,1.0,2.0,"['Ore', 'Wool', 'Lumber']",0.0,85.0,1.0,19:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,
18.0,2022-03-26,Cc,1.0,,B,7.0,Brown,3.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,"['Grain', 'Grain', 'Grain']",1.0,55.0,1.0,22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
18.0,2022-03-26,E,2.0,,B,8.0,Green,4.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,"['Grain', 'Grain']",0.0,55.0,1.0,22:40:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
18.0,2022-03-26,B,3.0,,B,10.0,Blue,3.0,1.0,7.0,4.0,1.0,1.0,0.0,1.0,"['Ore', 'Lumber', 'Grain']",0.0,55.0,1.0,22:40:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
